,Date Time,x_vel [m/s],z_vel [m/s],Current Speed [m/s],Current Direction [deg],Temperature [deg]
0,2021-08-25 14:00:03,0.01687887168143729,0.01933866116198158,0.025668660361934752,138.88539591663303,21.25
1,2021-08-25 15:00:03,0.02982251238858692,0.04336322950735986,0.05262843260515541,145.4822437409747,21.25
2,2021-08-25 16:00:03,0.021712833056926888,0.03230930815696464,0.038927349164047616,146.0977045061683,21.19
3,2021-08-25 17:00:03,0.027506416665582616,0.05160908083143139,0.058481622601000566,151.94344201255353,21.25
4,2021-08-25 18:00:03,0.009212276668159828,0.02845632548890486,0.029910341050232415,162.06147574434715,21.19
5,2021-08-25 19:00:03,0.015063189852386912,0.016379968761447268,0.022253158543340323,137.39803565344667,21.12
6,2021-08-25 20:00:03,0.046981696045604975,0.027224537493600535,0.05429967960367792,120.09105449335726,21.12
7,2021-08-25 21:00:03,0.016290291697808025,0.02427281371248832,0.02923256897915122,146.13312571865205,21.19
8,2021-08-25 22:00:03,0.022143969043116996,0.031284558784771876,0.03832856615294096,144.708214679903,21.12
9,2021-08-25 23:00:03,0.016615140531253368,0.02459016381674551,0.02967724804303254,145.95379872609303,21.12
10,2021-08-26 00:00:03,0.01319397892827904,0.016127734801580182,0.020837104160366715,140.7136586416972,21.06
11,2021-08-26 01:00:03,-0.01837039915662979,0.01873397880736851,0.02623801682918961,224.43858611959118,21.06
12,2021-08-26 02:00:03,0.006041041878126148,-4.563237905075291e-06,0.006041043601598491,89.95672034254652,21.19
13,2021-08-26 03:00:03,-0.007225363864286558,-0.003992629560003105,0.008255118035179665,298.92439273850505,21.06
14,2021-08-26 04:00:03,0.019088514359001028,0.01610785832036069,0.02497667872441413,130.15937348063144,21.12
15,2021-08-26 05:00:03,0.014046634325102584,0.010581453478781056,0.017586218854169812,126.99103704756685,21.12
16,2021-08-26 06:00:03,0.014382000301798736,0.02423844351612501,0.028184110359656935,149.3170155619105,21.06
17,2021-08-26 07:00:03,-0.0018206327736320816,0.009950242994851725,0.010115435697636512,190.36892110708953,21.12
18,2021-08-26 08:00:03,0.007980396076534618,0.01527187685454878,0.0172312780779277,152.41045555076633,21.06
19,2021-08-26 09:00:03,0.022290761606884566,0.016476014688430216,0.027718894513099314,126.46962397348764,21.06
20,2021-08-26 10:00:03,0.01123577542204393,0.006884593893933012,0.01317726384417441,121.49741175290265,21.06
21,2021-08-26 11:00:03,-0.00440037380326834,0.009500493462451009,0.010470084318598616,204.85230712296044,21.12
22,2021-08-26 12:00:03,0.018667406779822343,0.02541503471629394,0.03153404613293041,143.702624423381,21.12
23,2021-08-26 13:00:03,0.04502763856030345,0.04677865471833175,0.06492865909268593,136.09266662852045,21.19
24,2021-08-26 14:00:03,0.03547622251219413,0.04876640274184301,0.06030526013636243,143.965136638279,21.31
25,2021-08-26 15:00:03,0.0193861295339919,0.03971831042415124,0.04419690262063569,153.9834368370866,21.19
26,2021-08-26 16:00:03,-0.015107841424302926,0.06356995720018349,0.06534054125070472,193.36872995288584,21.19
27,2021-08-26 17:00:03,0.0070357750448114525,0.04019475806762645,0.04080589058697547,170.07141378079905,21.06
28,2021-08-26 18:00:03,0.006020696051774495,0.049804005026747394,0.050166599422844405,173.10708738280684,21.25
29,2021-08-26 19:00:03,0.04450939368024784,0.06542012534305426,0.0791257159568507,145.77010157302524,21.12
30,2021-08-26 20:00:03,0.03732980394646419,0.05507002836045153,0.06652986011034737,145.86820037192646,21.12
31,2021-08-26 21:00:03,0.04663809888072051,0.07647610070880939,0.08957514301876286,148.6235378252668,21.12
32,2021-08-26 22:00:03,0.01779151430358253,0.07853449509668496,0.0805245608575782,167.23544546357522,21.06
33,2021-08-26 23:00:03,0.04620796842393777,0.06603977747901262,0.08060042528017536,145.0195546957548,20.94
34,2021-08-27 00:00:03,0.020868253372273667,0.06498922269418214,0.06825747625867375,162.19800459598673,20.94
35,2021-08-27 01:00:03,0.04032533610432932,0.04291801728194667,0.058890482587092105,136.7839464282195,20.94
36,2021-08-27 02:00:03,0.01909336953755682,0.024144497901923145,0.03078170786739543,141.66319775841296,21.0
37,2021-08-27 03:00:03,0.02182319059701595,0.06972718221529903,0.07306251834914533,162.62094074244936,20.94
38,2021-08-27 04:00:03,0.02540405468243748,0.06284771724666847,0.06778791601329447,157.99065178626174,20.94
39,2021-08-27 05:00:03,0.038811465093025944,0.06620753424490765,0.07674482010831604,149.62077614491815,20.81
40,2021-08-27 06:00:03,0.036235058717604976,0.07120312072696722,0.07989282747235417,153.02859068065436,20.81
41,2021-08-27 07:00:03,0.06150321287059022,0.07535389818170653,0.09726692739356028,140.77896822582065,20.69
42,2021-08-27 08:00:03,0.02559591951980383,0.07846354191685197,0.08253289348012621,161.93293985181535,20.81
43,2021-08-27 09:00:03,0.04629922739720963,0.08583443262377827,0.09752521869457385,151.65750705558162,20.75
44,2021-08-27 10:00:03,0.04604071226150277,0.07392330628308277,0.08708847453807511,148.08463643624984,20.81
45,2021-08-27 11:00:03,0.010078322202706188,0.042566131383152725,0.04374297794331543,166.6794580934247,20.87
46,2021-08-27 12:00:03,0.025000041875114103,0.040654535835516634,0.047726233643131374,148.41103840765018,20.87
47,2021-08-27 13:00:03,0.014143453824790196,0.031502383351660584,0.03453168751927647,155.82160941081196,20.87
48,2021-08-27 14:00:03,0.030336719253334032,0.06798951639705061,0.0744505935165088,155.95371398581077,20.81
49,2021-08-27 15:00:03,0.02850452485393786,0.05357113740300195,0.060682573279320286,151.98312168049432,20.81
